km/l;IAT;RPM;MAP;km/h;Load;Acelerador(%);TARGET
2,551020408;58;820;97;5;46;14,12;driver3
1,226993865;58;1703;97;5;67;14,12;driver3
1,226993865;58;1703;97;5;67;14,12;driver3
1,226993865;58;1703;97;5;67;14,12;driver3
1,226993865;58;1703;97;5;67;14,12;driver3
1,226993865;58;1703;97;5;67;14,12;driver3
1,226993865;58;1703;97;5;67;14,12;driver3
1,226993865;58;1703;97;5;67;14,12;driver3
1,226993865;58;1703;97;5;67;14,12;driver3
1,226993865;58;1703;97;5;67;13,33;driver3
1,226993865;58;1703;97;5;67;13,33;driver3
5,952380952;58;1703;20;5;67;13,33;driver3
5,952380952;58;1703;20;5;67;13,33;driver3
17,85714286;58;1703;20;15;16;13,33;driver3
22,22222222;58;1362;20;15;16;13,33;driver3
22,22222222;58;1362;20;15;16;13,33;driver3
22,22222222;58;1362;20;15;16;13,33;driver3
22,22222222;58;1362;20;15;16;13,33;driver3
22,22222222;58;1362;20;15;16;13,33;driver3
22,22222222;58;1362;20;15;16;13,33;driver3
22,22222222;58;1362;20;15;16;13,33;driver3
22,22222222;58;1362;20;15;16;20,39;driver3
22,22222222;58;1362;20;15;16;20,39;driver3
7,299270073;58;1362;61;15;16;20,39;driver3
9,803921569;58;1362;61;20;16;20,39;driver3
9,803921569;58;1362;61;20;61;20,39;driver3
6,802721088;58;1960;61;20;61;20,39;driver3
6,802721088;58;1960;61;20;61;20,39;driver3
6,802721088;58;1960;61;20;61;20,39;driver3
6,802721088;58;1960;61;20;61;20,39;driver3
6,802721088;58;1960;61;20;61;20,39;driver3
6,802721088;58;1960;61;20;61;20,39;driver3
6,802721088;58;1960;61;20;61;20,39;driver3
6,802721088;58;1960;61;20;61;20,39;driver3
6,802721088;58;1960;61;20;61;20,39;driver3
15,38461538;58;1960;27;20;61;20,39;driver3
20,83333333;58;1960;27;27;61;20,39;driver3
30,3030303;58;1320;27;27;34;20,39;driver3
30,3030303;58;1320;27;27;34;20,39;driver3
30,3030303;58;1320;27;27;34;20,39;driver3
30,3030303;58;1320;27;27;34;20,39;driver3
30,3030303;58;1320;27;27;34;20,39;driver3
30,3030303;58;1320;27;27;34;20,39;driver3
30,3030303;58;1320;27;27;34;20,39;driver3
30,3030303;58;1320;27;27;34;20,39;driver3
30,3030303;58;1320;27;27;34;24,71;driver3
30,3030303;58;1320;27;27;34;24,71;driver3
10,41666667;58;1320;80;27;34;24,71;driver3
12,34567901;58;1320;80;32;34;24,71;driver3
12,34567901;58;1320;80;32;75;24,71;driver3
7,633587786;58;2118;80;32;75;24,71;driver3
7,633587786;58;2118;80;32;75;24,71;driver3
7,633587786;58;2118;80;32;75;24,71;driver3
7,633587786;58;2118;80;32;75;24,71;driver3
7,633587786;58;2118;80;32;75;24,71;driver3
7,633587786;58;2118;80;32;75;24,71;driver3
7,633587786;58;2118;80;32;75;24,71;driver3
7,633587786;58;2118;80;32;75;14,51;driver3
7,633587786;58;2118;80;32;75;14,51;driver3
30,3030303;58;2118;20;32;75;14,51;driver3
30,3030303;58;2118;20;32;75;14,51;driver3
37,03703704;58;2118;20;38;30;14,51;driver3
62,5;58;1203;20;38;30;14,51;driver3
62,5;58;1203;20;38;30;14,51;driver3
62,5;58;1203;20;38;30;14,51;driver3
62,5;58;1203;20;38;30;14,51;driver3
62,5;58;1203;20;38;30;14,51;driver3
62,5;58;1203;20;38;30;14,51;driver3
62,5;58;1203;20;38;30;14,51;driver3
62,5;58;1203;20;38;30;21,96;driver3
62,5;58;1203;20;38;30;21,96;driver3
22,22222222;58;1203;57;38;30;21,96;driver3
22,22222222;58;1203;57;38;30;21,96;driver3
25,64102564;58;1203;57;43;14;21,96;driver3
14,49275362;58;2095;57;43;14;21,96;driver3
14,49275362;58;2095;57;43;14;21,96;driver3
14,49275362;58;2095;57;43;14;21,96;driver3
14,49275362;58;2095;57;43;14;21,96;driver3
14,49275362;58;2095;57;43;14;21,96;driver3
14,49275362;58;2095;57;43;14;21,96;driver3
14,49275362;58;2095;57;43;14;21,96;driver3
14,49275362;58;2095;57;43;14;14,9;driver3
14,49275362;58;2095;57;43;14;14,9;driver3
33,33333333;58;2095;25;43;14;14,9;driver3
33,33333333;58;2095;25;43;14;14,9;driver3
35,71428571;58;2095;25;46;18;14,9;driver3
34,48275862;58;2194;25;46;18;14,9;driver3
34,48275862;58;2194;25;46;18;14,9;driver3
34,48275862;58;2194;25;46;18;14,9;driver3
34,48275862;58;2194;25;46;18;14,9;driver3
34,48275862;58;2194;25;46;18;14,9;driver3
34,48275862;58;2194;25;46;18;14,9;driver3
34,48275862;58;2194;25;46;18;14,9;driver3
34,48275862;58;2194;25;46;18;13,73;driver3
34,48275862;58;2194;25;46;18;13,73;driver3
34,48275862;58;2194;25;46;18;13,73;driver3
45,45454545;58;2194;19;46;18;13,73;driver3
45,45454545;58;2194;19;47;18;13,73;driver3
43,47826087;58;2264;19;47;32;13,73;driver3
43,47826087;58;2264;19;47;32;13,73;driver3
43,47826087;58;2264;19;47;32;13,73;driver3
43,47826087;58;2264;19;47;32;13,73;driver3
43,47826087;58;2264;19;47;32;13,73;driver3
43,47826087;58;2264;19;47;32;13,73;driver3
43,47826087;58;2264;19;47;32;13,73;driver3
43,47826087;58;2264;19;47;32;13,73;driver3
43,47826087;58;2264;19;47;32;13,73;driver3
43,47826087;58;2264;19;47;32;13,73;driver3
43,47826087;58;2264;19;47;32;13,73;driver3
45,45454545;58;2264;19;48;32;13,73;driver3
45,45454545;58;2255;19;48;17;13,73;driver3
45,45454545;58;2255;19;48;17;13,73;driver3
45,45454545;58;2255;19;48;17;13,73;driver3
45,45454545;58;2255;19;48;17;13,73;driver3
45,45454545;58;2255;19;48;17;13,73;driver3
45,45454545;58;2255;19;48;17;13,73;driver3
45,45454545;58;2255;19;48;17;13,73;driver3
45,45454545;58;2255;19;48;17;13,73;driver3
45,45454545;58;2255;19;48;17;17,25;driver3
45,45454545;58;2255;19;48;17;17,25;driver3
45,45454545;58;2255;19;48;17;17,25;driver3
43,47826087;58;2255;19;46;17;17,25;driver3
45,45454545;58;2203;19;46;0;17,25;driver3
45,45454545;58;2203;19;46;0;17,25;driver3
45,45454545;58;2203;19;46;0;17,25;driver3
45,45454545;58;2203;19;46;0;17,25;driver3
45,45454545;58;2203;19;46;0;17,25;driver3
45,45454545;58;2203;19;46;0;17,25;driver3
45,45454545;58;2203;19;46;0;17,25;driver3
45,45454545;58;2203;19;46;0;17,25;driver3
45,45454545;58;2203;19;46;0;13,33;driver3
45,45454545;58;2203;19;46;0;13,33;driver3
30,3030303;58;2203;28;46;0;13,33;driver3
27,77777778;58;2203;28;42;0;13,33;driver3
27,77777778;58;2203;28;42;0;13,33;driver3
31,25;58;1965;28;42;0;13,33;driver3
31,25;58;1965;28;42;0;13,33;driver3
31,25;58;1965;28;42;0;13,33;driver3
31,25;58;1965;28;42;0;13,33;driver3
31,25;58;1965;28;42;0;13,33;driver3
31,25;58;1965;28;42;0;13,33;driver3
31,25;58;1965;28;42;0;13,33;driver3
31,25;58;1965;28;42;0;14,9;driver3
31,25;58;1965;28;42;0;14,9;driver3
15,87301587;58;1965;55;42;0;14,9;driver3
15,87301587;58;1965;55;42;0;14,9;driver3
12,04819277;58;1965;55;32;34;14,9;driver3
26,31578947;58;908;55;32;34;14,9;driver3
26,31578947;58;908;55;32;34;14,9;driver3
26,31578947;58;908;55;32;34;14,9;driver3
26,31578947;58;908;55;32;34;14,9;driver3
26,31578947;58;908;55;32;34;14,9;driver3
26,31578947;58;908;55;32;34;14,9;driver3
26,31578947;58;908;55;32;34;14,9;driver3
26,31578947;58;908;55;32;34;14,9;driver3
26,31578947;58;908;55;32;34;14,9;driver3
27,02702703;58;908;53;32;34;14,9;driver3
27,02702703;58;908;53;32;34;14,9;driver3
16,94915254;58;908;53;20;37;14,9;driver3
16,12903226;58;944;53;20;37;14,9;driver3
16,12903226;58;944;53;20;37;14,9;driver3
16,12903226;58;944;53;20;37;14,9;driver3
16,12903226;58;944;53;20;37;14,9;driver3
16,12903226;58;944;53;20;37;14,9;driver3
16,12903226;58;944;53;20;37;14,9;driver3
16,12903226;58;944;53;20;37;14,9;driver3
16,12903226;58;944;53;20;37;21,57;driver3
16,12903226;58;944;53;20;37;21,57;driver3
16,12903226;58;944;53;20;37;21,57;driver3
26,31578947;58;944;33;20;37;21,57;driver3
30,3030303;58;944;33;23;37;21,57;driver3
13,33333333;58;2112;33;23;30;21,57;driver3
13,33333333;58;2112;33;23;30;21,57;driver3
13,33333333;58;2112;33;23;30;21,57;driver3
13,33333333;58;2112;33;23;30;21,57;driver3
13,33333333;58;2112;33;23;30;21,57;driver3
13,33333333;58;2112;33;23;30;21,57;driver3
13,33333333;58;2112;33;23;30;21,57;driver3
13,33333333;58;2112;33;23;30;25,88;driver3
13,33333333;58;2112;33;23;30;25,88;driver3
13,33333333;59;2112;33;23;30;25,88;driver3
11,62790698;59;2112;38;23;30;25,88;driver3
12,19512195;59;2112;38;24;30;25,88;driver3
11,49425287;59;2229;38;24;13;25,88;driver3
11,49425287;59;2229;38;24;13;25,88;driver3
11,49425287;59;2229;38;24;13;25,88;driver3
11,49425287;59;2229;38;24;13;25,88;driver3
11,49425287;59;2229;38;24;13;25,88;driver3
11,49425287;59;2229;38;24;13;25,88;driver3
11,49425287;59;2229;38;24;13;25,88;driver3
11,49425287;59;2229;38;24;13;25,88;driver3
11,49425287;59;2229;38;24;13;20,39;driver3
11,49425287;59;2229;38;24;13;20,39;driver3
8,620689655;59;2229;51;24;13;20,39;driver3
8,928571429;59;2229;51;25;13;20,39;driver3
8,130081301;59;2457;51;25;24;20,39;driver3
8,130081301;59;2457;51;25;24;20,39;driver3
8,130081301;59;2457;51;25;24;20,39;driver3
8,130081301;59;2457;51;25;24;20,39;driver3
8,130081301;59;2457;51;25;24;20,39;driver3
8,130081301;59;2457;51;25;24;20,39;driver3
8,130081301;59;2457;51;25;24;20,39;driver3
8,130081301;59;2457;51;25;24;20,39;driver3
8,130081301;59;2457;51;25;24;20,39;driver3
8,130081301;59;2457;51;25;24;20,39;driver3
15,38461538;59;2457;27;25;24;20,39;driver3
15,38461538;59;2457;27;25;24;20,39;driver3
17,85714286;59;2457;27;29;27;20,39;driver3
23,25581395;59;1896;27;29;27;20,39;driver3
23,25581395;59;1896;27;29;27;20,39;driver3
23,25581395;59;1896;27;29;27;20,39;driver3
23,25581395;59;1896;27;29;27;20,39;driver3
23,25581395;59;1896;27;29;27;20,39;driver3
23,25581395;59;1896;27;29;27;20,39;driver3
23,25581395;59;1896;27;29;27;20,39;driver3
23,25581395;59;1896;27;29;27;45,88;driver3
23,25581395;59;1896;27;29;27;45,88;driver3
6,329113924;59;1896;98;29;27;45,88;driver3
6,329113924;59;1896;98;29;27;45,88;driver3
8,130081301;59;1896;98;37;21;45,88;driver3
6,666666667;59;2305;98;37;21;45,88;driver3
6,666666667;59;2305;98;37;21;45,88;driver3
6,666666667;59;2305;98;37;21;45,88;driver3
6,666666667;59;2305;98;37;21;45,88;driver3
6,666666667;59;2305;98;37;21;45,88;driver3
6,666666667;59;2305;98;37;21;45,88;driver3
6,666666667;59;2305;98;37;21;45,88;driver3
6,666666667;59;2305;98;37;21;43,14;driver3
6,666666667;59;2305;98;37;21;43,14;driver3
6,666666667;59;2305;98;37;21;43,14;driver3
6,666666667;59;2305;98;37;21;43,14;driver3
7,194244604;59;2305;98;40;21;43,14;driver3
8,333333333;59;1991;98;40;100;43,14;driver3
8,333333333;59;1991;98;40;100;43,14;driver3
8,333333333;59;1991;98;40;100;43,14;driver3
8,333333333;59;1991;98;40;100;43,14;driver3
8,333333333;59;1991;98;40;100;43,14;driver3
8,333333333;59;1991;98;40;100;43,14;driver3
8,333333333;59;1991;98;40;100;43,14;driver3
8,333333333;59;1991;98;40;100;43,14;driver3
8,333333333;59;1991;98;40;100;46,67;driver3
8,333333333;59;1991;98;40;100;46,67;driver3
8,333333333;59;1991;98;40;100;46,67;driver3
10,41666667;59;1991;98;50;100;46,67;driver3
8,620689655;59;2407;98;50;99;46,67;driver3
8,620689655;59;2407;98;50;99;46,67;driver3
8,620689655;59;2407;98;50;99;46,67;driver3
8,620689655;59;2407;98;50;99;46,67;driver3
8,620689655;59;2407;98;50;99;46,67;driver3
8,620689655;59;2407;98;50;99;46,67;driver3
8,620689655;59;2407;98;50;99;46,67;driver3
8,620689655;59;2407;98;50;99;22,35;driver3
8,620689655;59;2407;98;50;99;22,35;driver3
8,620689655;59;2407;98;50;99;22,35;driver3
14,28571429;59;2407;59;50;99;22,35;driver3
15,15151515;59;2407;59;53;99;22,35;driver3
14,28571429;59;2539;59;53;48;22,35;driver3
14,28571429;59;2539;59;53;48;22,35;driver3
14,28571429;59;2539;59;53;48;22,35;driver3
14,28571429;59;2539;59;53;48;22,35;driver3
14,28571429;59;2539;59;53;48;22,35;driver3
14,28571429;59;2539;59;53;48;22,35;driver3
14,28571429;59;2539;59;53;48;22,35;driver3
14,28571429;59;2539;59;53;48;22,35;driver3
14,28571429;59;2539;59;53;48;17,25;driver3
14,28571429;59;2539;59;53;48;17,25;driver3
25;59;2539;34;53;48;17,25;driver3
24,3902439;59;2539;34;52;48;17,25;driver3
24,3902439;59;2539;34;52;28;17,25;driver3
25,64102564;59;2439;34;52;28;17,25;driver3
25,64102564;59;2439;34;52;28;17,25;driver3
25,64102564;59;2439;34;52;28;17,25;driver3
25,64102564;59;2439;34;52;28;17,25;driver3
25,64102564;59;2439;34;52;28;17,25;driver3
25,64102564;59;2439;34;52;28;17,25;driver3
25,64102564;59;2439;34;52;28;17,25;driver3
25,64102564;59;2439;34;52;28;22,75;driver3
25,64102564;59;2439;34;52;28;22,75;driver3
13,15789474;59;2439;66;52;28;22,75;driver3
13,15789474;59;2439;66;52;28;22,75;driver3
13,15789474;59;2439;66;52;72;22,75;driver3
12,82051282;59;2512;66;52;72;22,75;driver3
12,82051282;59;2512;66;52;72;22,75;driver3
12,82051282;59;2512;66;52;72;22,75;driver3
12,82051282;59;2512;66;52;72;22,75;driver3
12,82051282;59;2512;66;52;72;22,75;driver3
12,82051282;59;2512;66;52;72;22,75;driver3
12,82051282;59;2512;66;52;72;22,75;driver3
12,82051282;59;2512;66;52;72;18,43;driver3
12,82051282;59;2512;66;52;72;18,43;driver3
23,25581395;59;2512;36;52;72;18,43;driver3
23,25581395;59;2512;36;52;72;18,43;driver3
23,25581395;59;2512;36;52;37;18,43;driver3
23,80952381;59;2473;36;52;37;18,43;driver3
23,80952381;59;2473;36;52;37;18,43;driver3
23,80952381;59;2473;36;52;37;18,43;driver3
23,80952381;59;2473;36;52;37;18,43;driver3
23,80952381;59;2473;36;52;37;18,43;driver3
23,80952381;59;2473;36;52;37;18,43;driver3
23,80952381;59;2473;36;52;37;18,43;driver3
23,80952381;59;2473;36;52;37;23,53;driver3
23,80952381;59;2473;36;52;37;23,53;driver3
23,80952381;59;2473;36;52;37;23,53;driver3
13,69863014;59;2473;62;52;37;23,53;driver3
14,08450704;59;2473;62;53;37;23,53;driver3
13,69863014;59;2549;62;53;53;23,53;driver3
13,69863014;59;2549;62;53;53;23,53;driver3
13,69863014;59;2549;62;53;53;23,53;driver3
13,69863014;59;2549;62;53;53;23,53;driver3
13,69863014;59;2549;62;53;53;23,53;driver3
13,69863014;59;2549;62;53;53;23,53;driver3
13,69863014;59;2549;62;53;53;23,53;driver3
13,69863014;59;2549;62;53;53;23,53;driver3
13,69863014;59;2549;62;53;53;23,14;driver3
13,69863014;59;2549;62;53;53;23,14;driver3
35,71428571;59;2549;24;53;53;23,14;driver3
35,71428571;59;2549;24;54;53;23,14;driver3
35,71428571;59;2580;24;54;23;23,14;driver3
35,71428571;59;2580;24;54;23;23,14;driver3
35,71428571;59;2580;24;54;23;23,14;driver3
35,71428571;59;2580;24;54;23;23,14;driver3
35,71428571;59;2580;24;54;23;23,14;driver3
35,71428571;59;2580;24;54;23;23,14;driver3
35,71428571;59;2580;24;54;23;23,14;driver3
35,71428571;59;2580;24;54;23;23,14;driver3
35,71428571;59;2580;24;54;23;13,73;driver3
35,71428571;59;2580;24;54;23;13,73;driver3
43,47826087;59;2580;20;54;23;13,73;driver3
37,03703704;59;2580;20;47;23;13,73;driver3
90,90909091;59;1079;20;47;38;13,73;driver3
90,90909091;59;1079;20;47;38;13,73;driver3
90,90909091;59;1079;20;47;38;13,73;driver3
90,90909091;59;1079;20;47;38;13,73;driver3
90,90909091;59;1079;20;47;38;13,73;driver3
90,90909091;59;1079;20;47;38;13,73;driver3
90,90909091;59;1079;20;47;38;13,73;driver3
90,90909091;59;1079;20;47;38;13,73;driver3
90,90909091;59;1079;20;47;38;14,9;driver3
90,90909091;59;1079;20;47;38;14,9;driver3
34,48275862;59;1079;51;47;38;14,9;driver3
26,31578947;59;1079;51;36;38;14,9;driver3
26,31578947;59;1079;51;36;36;14,9;driver3
32,25806452;59;889;51;36;36;14,9;driver3
32,25806452;59;889;51;36;36;14,9;driver3
32,25806452;59;889;51;36;36;14,9;driver3
32,25806452;59;889;51;36;36;14,9;driver3
32,25806452;59;889;51;36;36;14,9;driver3
32,25806452;59;889;51;36;36;14,9;driver3
32,25806452;59;889;51;36;36;14,9;driver3
32,25806452;59;889;51;36;36;14,9;driver3
32,25806452;59;889;51;36;36;14,9;driver3
32,25806452;59;889;51;36;36;14,9;driver3
30,3030303;59;889;54;36;36;14,9;driver3
12,65822785;59;889;54;15;36;14,9;driver3
12,82051282;59;886;54;15;36;14,9;driver3
12,82051282;59;886;54;15;36;14,9;driver3
12,82051282;59;886;54;15;36;14,9;driver3
12,82051282;59;886;54;15;36;14,9;driver3
12,82051282;59;886;54;15;36;14,9;driver3
12,82051282;59;886;54;15;36;14,9;driver3
12,82051282;59;886;54;15;36;14,9;driver3
12,82051282;59;886;54;15;36;29,02;driver3
12,82051282;59;886;54;15;36;29,02;driver3
8,196721311;59;886;84;15;36;29,02;driver3
8,196721311;59;886;84;15;36;29,02;driver3
13,15789474;59;886;84;24;36;29,02;driver3
4,830917874;59;2410;84;24;73;29,02;driver3
4,830917874;59;2410;84;24;73;29,02;driver3
4,830917874;59;2410;84;24;73;29,02;driver3
4,830917874;59;2410;84;24;73;29,02;driver3
4,830917874;59;2410;84;24;73;29,02;driver3
4,830917874;59;2410;84;24;73;29,02;driver3
4,830917874;59;2410;84;24;73;29,02;driver3
4,830917874;59;2410;84;24;73;29,02;driver3
4,830917874;59;2410;84;24;73;26,67;driver3
4,830917874;59;2410;84;24;73;26,67;driver3
4,132231405;59;2410;98;24;73;26,67;driver3
5,154639175;59;2410;98;30;73;26,67;driver3
5,154639175;59;2410;98;30;99;26,67;driver3
6,060606061;59;2060;98;30;99;26,67;driver3
6,060606061;59;2060;98;30;99;26,67;driver3
6,060606061;59;2060;98;30;99;26,67;driver3
6,060606061;59;2060;98;30;99;26,67;driver3
6,060606061;59;2060;98;30;99;26,67;driver3
6,060606061;59;2060;98;30;99;26,67;driver3
6,060606061;59;2060;98;30;99;26,67;driver3
6,060606061;59;2060;98;30;99;26,67;driver3
6,060606061;59;2060;98;30;99;15,29;driver3
6,060606061;59;2060;98;30;99;15,29;driver3
10,75268817;59;2060;55;30;99;15,29;driver3
12,98701299;59;2060;55;36;99;15,29;driver3
14,92537313;59;1780;55;36;98;15,29;driver3
14,92537313;59;1780;55;36;98;15,29;driver3
14,92537313;59;1780;55;36;98;15,29;driver3
14,92537313;59;1780;55;36;98;15,29;driver3
14,92537313;59;1780;55;36;98;15,29;driver3
14,92537313;59;1780;55;36;98;15,29;driver3
14,92537313;59;1780;55;36;98;15,29;driver3
14,92537313;59;1780;55;36;98;15,29;driver3
14,92537313;59;1780;55;36;98;18,82;driver3
14,92537313;59;1780;55;36;98;18,82;driver3
14,92537313;59;1780;55;36;98;18,82;driver3
35,71428571;59;1780;23;36;98;18,82;driver3
40;59;1780;23;41;0;18,82;driver3
37,03703704;59;1943;23;41;0;18,82;driver3
37,03703704;59;1943;23;41;0;18,82;driver3
37,03703704;59;1943;23;41;0;18,82;driver3
37,03703704;59;1943;23;41;0;18,82;driver3
37,03703704;59;1943;23;41;0;18,82;driver3
37,03703704;59;1943;23;41;0;18,82;driver3
37,03703704;59;1943;23;41;0;18,82;driver3
37,03703704;59;1943;23;41;0;18,82;driver3
37,03703704;59;1943;23;41;0;18,82;driver3
37,03703704;59;1943;23;41;0;18,82;driver3
14,28571429;59;1943;60;41;0;18,82;driver3
12,98701299;59;1943;60;37;77;18,82;driver3
14,28571429;59;1751;60;37;77;18,82;driver3
14,28571429;59;1751;60;37;77;18,82;driver3
14,28571429;59;1751;60;37;77;18,82;driver3
14,28571429;59;1751;60;37;77;18,82;driver3
14,28571429;59;1751;60;37;77;18,82;driver3
14,28571429;59;1751;60;37;77;18,82;driver3
14,28571429;59;1751;60;37;77;18,82;driver3
14,28571429;59;1751;60;37;77;21,57;driver3
14,28571429;59;1751;60;37;77;21,57;driver3
14,28571429;59;1751;60;37;77;21,57;driver3
30,3030303;59;1751;28;37;77;21,57;driver3
32,25806452;59;1751;28;39;77;21,57;driver3
31,25;59;1809;28;39;11;21,57;driver3
31,25;59;1809;28;39;11;21,57;driver3
31,25;59;1809;28;39;11;21,57;driver3
31,25;59;1809;28;39;11;21,57;driver3
31,25;59;1809;28;39;11;21,57;driver3
31,25;59;1809;28;39;11;21,57;driver3
31,25;59;1809;28;39;11;21,57;driver3
31,25;59;1809;28;39;11;16,47;driver3
31,25;59;1809;28;39;11;16,47;driver3
31,25;59;1809;28;39;11;16,47;driver3
21,27659574;59;1809;41;39;11;16,47;driver3
18,51851852;59;1809;41;34;42;16,47;driver3
20,83333333;59;1622;41;34;42;16,47;driver3
20,83333333;59;1622;41;34;42;16,47;driver3
20,83333333;59;1622;41;34;42;16,47;driver3
20,83333333;59;1622;41;34;42;16,47;driver3
20,83333333;59;1622;41;34;42;16,47;driver3
20,83333333;59;1622;41;34;42;16,47;driver3
20,83333333;59;1622;41;34;42;16,47;driver3
20,83333333;59;1622;41;34;42;16,47;driver3
20,83333333;59;1622;41;34;42;12,16;driver3
20,83333333;59;1622;41;34;42;12,16;driver3
37,03703704;59;1622;23;34;42;12,16;driver3
34,48275862;59;1622;23;32;42;12,16;driver3
38,46153846;59;1497;23;32;19;12,16;driver3
38,46153846;59;1497;23;32;19;12,16;driver3
38,46153846;59;1497;23;32;19;12,16;driver3
38,46153846;59;1497;23;32;19;12,16;driver3
38,46153846;59;1497;23;32;19;12,16;driver3
38,46153846;59;1497;23;32;19;12,16;driver3
38,46153846;59;1497;23;32;19;12,16;driver3
38,46153846;59;1497;23;32;19;12,16;driver3
38,46153846;59;1497;23;32;19;15,69;driver3
38,46153846;59;1497;23;32;19;15,69;driver3
17,85714286;59;1497;49;32;19;15,69;driver3
15,625;59;1497;49;28;19;15,69;driver3
15,625;59;1497;49;28;35;15,69;driver3
23,25581395;59;991;49;28;35;15,69;driver3
23,25581395;59;991;49;28;35;15,69;driver3
23,25581395;59;991;49;28;35;15,69;driver3
23,25581395;59;991;49;28;35;15,69;driver3
23,25581395;59;991;49;28;35;15,69;driver3
23,25581395;59;991;49;28;35;15,69;driver3
23,25581395;59;991;49;28;35;15,69;driver3
23,25581395;59;991;49;28;35;14,9;driver3
23,25581395;59;991;49;28;35;14,9;driver3
21,73913043;59;991;53;28;35;14,9;driver3
21,73913043;59;991;53;28;35;14,9;driver3
15,38461538;59;991;53;20;38;14,9;driver3
17,54385965;59;867;53;20;38;14,9;driver3
17,54385965;59;867;53;20;38;14,9;driver3
17,54385965;59;867;53;20;38;14,9;driver3
17,54385965;59;867;53;20;38;14,9;driver3
17,54385965;59;867;53;20;38;14,9;driver3
17,54385965;59;867;53;20;38;14,9;driver3
17,54385965;59;867;53;20;38;14,9;driver3
17,54385965;59;867;53;20;38;27,84;driver3
17,54385965;59;867;53;20;38;27,84;driver3
17,54385965;59;867;53;20;38;27,84;driver3
12,82051282;59;867;73;20;38;27,84;driver3
9,009009009;59;867;73;14;38;27,84;driver3
5,882352941;59;1327;73;14;75;27,84;driver3
5,882352941;59;1327;73;14;75;27,84;driver3
5,882352941;59;1327;73;14;75;27,84;driver3
5,882352941;59;1327;73;14;75;27,84;driver3
5,882352941;59;1327;73;14;75;27,84;driver3
5,882352941;59;1327;73;14;75;27,84;driver3
5,882352941;59;1327;73;14;75;27,84;driver3
5,882352941;59;1327;73;14;75;27,84;driver3
5,882352941;59;1327;73;14;75;27,84;driver3
5,882352941;59;1327;73;14;75;27,84;driver3
4,385964912;59;1327;98;14;75;27,84;driver3
6,578947368;59;1327;98;21;75;27,84;driver3
3,816793893;59;2279;98;21;96;27,84;driver3
3,816793893;59;2279;98;21;96;27,84;driver3
3,816793893;59;2279;98;21;96;27,84;driver3
